Sample in Buffer,Sample in Window,TRIGGER,adc_data[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,33755
1,1,0,33020
2,2,0,32306
3,3,0,31625
4,4,0,30908
5,5,0,30232
6,6,0,29548
7,7,0,28873
8,8,0,28209
9,9,0,27506
10,10,0,26888
11,11,0,26238
12,12,0,25619
13,13,0,25010
14,14,0,24466
15,15,0,23887
16,16,0,23374
17,17,0,22826
18,18,0,22379
19,19,0,21869
20,20,0,21490
21,21,0,21035
22,22,0,20659
23,23,0,20334
24,24,0,20029
25,25,0,19746
26,26,0,19530
27,27,0,19257
28,28,0,19083
29,29,0,18928
30,30,0,18869
31,31,0,18787
32,32,0,18738
33,33,0,18729
34,34,0,18771
35,35,0,18863
36,36,0,18968
37,37,0,19020
38,38,0,19213
39,39,0,19441
40,40,0,19669
41,41,0,19937
42,42,0,20250
43,43,0,20590
44,44,0,20989
45,45,0,21360
46,46,0,21771
47,47,0,22280
48,48,0,22704
49,49,0,23211
50,50,0,23787
51,51,0,24334
52,52,0,24898
53,53,0,25471
54,54,0,26094
55,55,0,26683
56,56,0,27343
57,57,0,28007
58,58,0,28674
59,59,0,29358
60,60,0,30076
61,61,0,30728
62,62,0,31450
63,63,0,32155
64,64,0,32890
65,65,0,33542
66,66,0,34260
67,67,0,34996
68,68,0,35673
69,69,0,36353
70,70,0,37020
71,71,0,37704
72,72,0,38364
73,73,0,38984
74,74,0,39612
75,75,0,40217
76,76,0,40825
77,77,0,41362
78,78,0,41942
79,79,0,42450
80,80,0,42970
81,81,0,43428
82,82,0,43879
83,83,0,44269
84,84,0,44688
85,85,0,45046
86,86,0,45362
87,87,0,45647
88,88,0,45940
89,89,0,46126
90,90,0,46347
91,91,0,46496
92,92,0,46664
93,93,0,46745
94,94,0,46773
95,95,0,46837
96,96,0,46806
97,97,0,46783
98,98,0,46663
99,99,0,46577
100,100,0,46411
101,101,0,46181
102,102,0,45989
103,103,0,45755
104,104,0,45474
105,105,0,45148
106,106,0,44795
107,107,0,44398
108,108,0,43970
109,109,0,43515
110,110,0,43078
111,111,0,42596
112,112,0,42060
113,113,0,41508
114,114,0,40966
115,115,0,40349
116,116,0,39770
117,117,0,39129
118,118,0,38495
119,119,0,37881
120,120,0,37178
121,121,0,36516
122,122,0,35825
123,123,0,35128
124,124,0,34447
125,125,0,33729
126,126,0,33053
127,127,0,32320
128,128,0,31642
129,129,0,30946
130,130,0,30248
131,131,0,29549
132,132,0,28849
133,133,0,28181
134,134,0,27541
135,135,0,26860
136,136,0,26231
137,137,0,25625
138,138,0,25038
139,139,0,24410
